name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
BM_LR_DOUBLE/repeats:3_mean,3,2601.21,2600.24,ms,,,,,
"BM_LR_DOUBLE/repeats:3_median",3,2603,2601.95,ms,,,,,
"BM_LR_DOUBLE/repeats:3_stddev",3,5.28961,4.88986,ms,,,,,
"BM_LR_INTEGER/repeats:3_mean",3,713.593,713.294,ms,,,,,
"BM_LR_INTEGER/repeats:3_median",3,719.849,719.734,ms,,,,,
"BM_LR_INTEGER/repeats:3_stddev",3,15.3197,15.4893,ms,,,,,
"BM_LR_LONG/repeats:3_mean",3,1664.84,1664.45,ms,,,,,
"BM_LR_LONG/repeats:3_median",3,1672.63,1672.3,ms,,,,,
"BM_LR_LONG/repeats:3_stddev",3,27.4831,27.4333,ms,,,,,
"BM_LR_FLOAT/repeats:3_mean",3,2085.33,2084.6,ms,,,,,
"BM_LR_FLOAT/repeats:3_median",3,2077.01,2076.28,ms,,,,,
"BM_LR_FLOAT/repeats:3_stddev",3,19.5644,19.6805,ms,,,,,
"BM_VLR_DOUBLE/repeats:3_mean",3,1475.83,1475.4,ms,,,,,
"BM_VLR_DOUBLE/repeats:3_median",3,1474.28,1473.86,ms,,,,,
"BM_VLR_DOUBLE/repeats:3_stddev",3,12.0526,12.0333,ms,,,,,
"BM_VLR_INTEGER/repeats:3_mean",3,700.329,700.197,ms,,,,,
"BM_VLR_INTEGER/repeats:3_median",3,698.284,698.081,ms,,,,,
"BM_VLR_INTEGER/repeats:3_stddev",3,4.23409,4.30636,ms,,,,,
"BM_VLR_LONG/repeats:3_mean",3,1500.36,1499.92,ms,,,,,
"BM_VLR_LONG/repeats:3_median",3,1501,1500.53,ms,,,,,
"BM_VLR_LONG/repeats:3_stddev",3,6.67031,6.81294,ms,,,,,
"BM_PLR_DOUBLE/repeats:3_mean",3,2598.63,2597.87,ms,,,,,
"BM_PLR_DOUBLE/repeats:3_median",3,2598.34,2597.32,ms,,,,,
"BM_PLR_DOUBLE/repeats:3_stddev",3,1.0437,1.10058,ms,,,,,
"BM_PLR_INTEGER/repeats:3_mean",3,735.359,735.264,ms,,,,,
"BM_PLR_INTEGER/repeats:3_median",3,737.937,737.79,ms,,,,,
"BM_PLR_INTEGER/repeats:3_stddev",3,5.02852,4.98018,ms,,,,,
"BM_PLR_LONG/repeats:3_mean",3,1684.87,1684.54,ms,,,,,
"BM_PLR_LONG/repeats:3_median",3,1693.68,1693.22,ms,,,,,
"BM_PLR_LONG/repeats:3_stddev",3,15.2607,15.2103,ms,,,,,
"BM_PLR_FLOAT/repeats:3_mean",3,2069.1,2068.58,ms,,,,,
"BM_PLR_FLOAT/repeats:3_median",3,2068.26,2067.63,ms,,,,,
"BM_PLR_FLOAT/repeats:3_stddev",3,3.48253,3.25634,ms,,,,,
